clasificacion;precio_actual;sugerido_x1000;disponibilidad;sku_o_id;slug;nombre
decimales;21,25;21.250;out_of_stock;6020862c-0620-4aa3-bde4-1d97c2d6b516;mouse-genius-micro-retractil-b;MOUSE GENIUS MICRO RETRACTIL BLANCO
decimales;21,25;21.250;out_of_stock;c8d109db-68e1-4619-a84a-bb4c21fe83a7;memoria-usb-adata-uv320-3-2-12;MEMORIA USB ADATA UV320 3,2 - 128GB - NEGRA CON AZUL
decimales;21,25;21.250;out_of_stock;db1b906b-8291-4f86-8499-3625173b3126;mouse-genius-micro-retractil-b-2;MOUSE GENIUS MICRO RETRACTIL BLANCO
decimales;26,18;26.180;out_of_stock;3c38eaa7-cafc-4e20-b9b4-5e14eb66b655;mouse-logitech-m90-usb-negro;MOUSE LOGITECH M90 USB - NEGRO
decimales;26,18;26.180;out_of_stock;3f2bd61a-469c-4896-8aaa-9b41abbb89ea;memoria-usb-kingston-datatrave-8;MEMORIA USB KINGSTON DATATRAVELER 3.2 DTX EXODIA M- 128GB - NEGRA - RETRACTIL
decimales;26,18;26.180;out_of_stock;49e1d354-552f-4e1c-9f87-669df84ad065;mouse-logitech-m90-usb-negro-2;MOUSE LOGITECH M90 USB - NEGRO
decimales;52,50;52.500;out_of_stock;37c591fe-6b56-4d50-96f2-a851de392faa;mouse-logitech-m170-inalambric-2;MOUSE LOGITECH M170 - INALAMBRICO - BLUE GRAY
decimales;52,50;52.500;out_of_stock;ebd01dd5-3aa5-4eff-9ee5-966ded8993eb;memoria-usb-kingston-datatrave-3;MEMORIA USB KINGSTON DATATRAVELER 3.2 DTX EXODIA- 64GB - ROSA NEON
decimales;52,50;52.500;out_of_stock;d3e04182-5535-4f3c-98ea-2cbd298e5792;mouse-logitech-m170-inalambric-5;MOUSE LOGITECH M170 - INALAMBRICO - BLUE GRAY
decimales;52,58;52.580;out_of_stock;d7898671-21e6-47d1-a6ad-ee6a718f868d;mouse-logitech-m170-inalambric;MOUSE LOGITECH M170 - INALAMBRICO - AZUL
decimales;52,58;52.580;out_of_stock;99267811-84b1-45cf-b378-03f593bef2d5;mouse-logitech-m170-inalambric-3;MOUSE LOGITECH M170 - INALAMBRICO - ROJO
decimales;52,58;52.580;out_of_stock;47695dc1-7e2e-4f19-9caa-60872ed1ce71;memoria-usb-kingston-datatrave-2;MEMORIA USB KINGSTON DATATRAVELER 3.2 DTX EXODIA M - 64GB - RETRACTIL - NEGRA CON AZUL
decimales;52,58;52.580;out_of_stock;a2799cdf-5215-4c11-a721-c8e918230efc;memoria-usb-kingston-datatrave-4;MEMORIA USB KINGSTON DATATRAVELER 3.2 DTX EXODIA- 64GB - AZUL NEON
decimales;52,58;52.580;out_of_stock;9a4e7954-e851-4252-b340-0c37324892cd;mouse-logitech-m170-inalambric-4;MOUSE LOGITECH M170 - INALAMBRICO - AZUL
decimales;52,58;52.580;out_of_stock;b56eae03-6638-412a-82dc-0f337dd28b26;mouse-logitech-m170-inalambric-6;MOUSE LOGITECH M170 - INALAMBRICO - ROJO
decimales;52,60;52.600;out_of_stock;2ff575ba-0241-4828-9b85-104e113fabe6;diadema-logitech-h111-3-5mm-pl;DIADEMA LOGITECH H111 - 3,5MM - PLUG STEREO - MICROFONO
decimales;52,60;52.600;out_of_stock;415b6be2-c4f3-4602-a860-de9874f79b3a;router-tp-link-archer-c64-dual;ROUTER TP-LINK ARCHER C64 - DUAL BAND - AC1200 - 4 ANTENAS
decimales;52,60;52.600;out_of_stock;d38de755-469a-415d-ab05-574b378f2618;diadema-logitech-h111-3-5mm-pl-2;DIADEMA LOGITECH H111 - 3,5MM - PLUG STEREO - MICROFONO
decimales;52,60;52.600;out_of_stock;5394222f-c11f-4846-82b4-b59271ae7ad9;router-tp-link-archer-c64-dual-2;ROUTER TP-LINK ARCHER C64 - DUAL BAND - AC1200 - 4 ANTENAS
decimales;55,93;55.930;out_of_stock;f02c35fc-246e-41b4-8403-d5e64db7c2ee;regulador-voltaje-wattana-600v;REGULADOR DE VOLTAJE WATTANA - 600VA - 300W - 8 TOMAS DE SALIDA
decimales;65,45;65.450;out_of_stock;e214e65e-481c-4f72-869e-c3e777d32669;regulador-voltaje-wattana-1200;REGULADOR DE VOLTAJE WATTANA - 1200VA - 600W - 8 TOMAS DE SALIDA
decimales;65,45;65.450;out_of_stock;bcef3c00-aa32-4da1-bf09-a57c4e7150aa;regulador-voltaje-wattana-1200-2;REGULADOR DE VOLTAJE WATTANA - 1200VA - 600W - 8 TOMAS DE SALIDA
decimales;66,64;66.640;out_of_stock;730ae895-238c-4930-9e5e-b5aa4b80e9fc;mouse-mini-logitech-m187-inala;MOUSE MINI LOGITECH M187 - INALAMBRICO - ULTRAPORTATIL - USB - AZUL PALACE
decimales;66,64;66.640;out_of_stock;6b99b610-46b0-4ac5-bd1a-0a91cd540513;mouse-mini-logitech-m187-inala-2;MOUSE MINI LOGITECH M187 - INALAMBRICO - ULTRAPORTATIL - USB - BRIGHT AZUL
decimales;66,64;66.640;out_of_stock;6e5655ac-7e53-4557-a4d2-2fc594b4c977;memoria-usb-kingston-datatrave-12;MEMORIA USB KINGSTON DATATRAVELER 3.2 DTX EXODIA ONYX - 256GB - NEGRA
decimales;66,64;66.640;out_of_stock;5d7c1ef8-c07f-4dc9-9452-abcc0e368c0e;memoria-usb-kingston-datatrave-13;MEMORIA USB KINGSTON DATATRAVELER 3.2 DTX EXODIA M- 256GB - NEGRA - RETRACTIL
decimales;66,64;66.640;out_of_stock;9eafe0b6-3b2b-472f-930d-037ed04c6c19;mini-dock-lenovo-usb-c-puertos;MINI DOCK LENOVO USB-C - PUERTOS USB X 3 - PUERTO DE CARGA - CONECTOR DE AUDIO - HDMI X 1 - VGA X 1 - GIGA BIT RJ45 - 40AU0065US
decimales;66,64;66.640;out_of_stock;81503d3d-93f8-45be-913c-860badbbac27;mouse-mini-logitech-m187-inala-3;MOUSE MINI LOGITECH M187 - INALAMBRICO - ULTRAPORTATIL - USB - AZUL PALACE
decimales;66,64;66.640;out_of_stock;8c84d85a-f5d0-4529-b6e3-24c736149a5e;mouse-mini-logitech-m187-inala-4;MOUSE MINI LOGITECH M187 - INALAMBRICO - ULTRAPORTATIL - USB - BRIGHT AZUL
decimales;66,64;66.640;out_of_stock;2835b9df-22ea-425f-b5da-a8b94acf9d5f;mouse-mini-logitech-m187-inala-5;MOUSE MINI LOGITECH M187 - INALAMBRICO - ULTRAPORTATIL - USB - CORAL
decimales;67,83;67.830;out_of_stock;01b69522-0190-4b60-8f70-b496a9d7d6c1;regulador-voltaje-wattana-2000;REGULADOR DE VOLTAJE WATTANA - 2000VA - 1000W - 8 TOMAS DE SALIDA
decimales;67,83;67.830;out_of_stock;25626646-9aaf-4df6-8aa7-442c3739acca;regulador-voltaje-wattana-2000-2;REGULADOR DE VOLTAJE WATTANA - 2000VA - 1000W - 8 TOMAS DE SALIDA
decimales;69,02;69.020;out_of_stock;d322f072-ca90-4661-bc59-17afc80baac1;morral-xkim-notebook-15-6-city;"MORRAL XKIM PARA NOTEBOOK 15,6"" - CITY LIGHT - NEGRO"
decimales;69,02;69.020;out_of_stock;c3c423c6-d0bc-4b13-9a80-63b85e77a2d7;memoria-usb-adata-ur350-3-2-64;MEMORIA USB ADATA UR350  3,2 - 64GB - SILVER - METALICA
decimales;71,25;71.250;out_of_stock;93192387-2585-4842-83b3-d9bc6398018f;combo-teclado-mouse-logitech-m;COMBO TECLADO Y MOUSE LOGITECH MK120 - ALAMBRICO - USB - NEGRO
decimales;71,25;71.250;out_of_stock;2f5dc30f-556c-4711-b2b1-c24229fe39a4;router-mercusys-mw306r-300mbps;ROUTER MERCUSYS MW306R - 300MBPS - 3 ANTENAS
decimales;71,25;71.250;out_of_stock;727a7d77-83ce-4955-b9bc-3068ee454489;router-mercusys-mw306r-300mbps-2;ROUTER MERCUSYS MW306R - 300MBPS - 3 ANTENAS
decimales;74,97;74.970;out_of_stock;15166ee5-6411-4bf2-892f-92d929be924d;power-bank-adata-p10000qcd-car;POWER BANK ADATA P10000QCD - CARGA RAPIDA - 10000MAH - 2 PUERTOS USB - 1 TIPO C - PANTALLA INDICADORA DE CARGA
decimales;77,35;77.350;out_of_stock;44de93ad-06d4-4078-a39c-f8b364834ef7;morral-targus-notebook-15-6-in-2;"MORRAL TARGUS PARA NOTEBOOK 15,6"" - INTELLECT ESSENTIALS NEGRO"
decimales;77,35;77.350;out_of_stock;00c3db91-6bb7-4671-9d3f-d6bc023b6afb;morral-targus-notebook-15-6-in-3;"MORRAL TARGUS PARA NOTEBOOK 15,6"" - INTELLECT NEGRO - TBB565GL"
decimales;77,35;77.350;out_of_stock;3939a30c-2eeb-454c-9e3c-31c92f3d9c1f;memoria-usb-adata-uv320-3-2-32;MEMORIA USB ADATA UV320 3,2 - 32GB - BLANCA CON VERDE
decimales;77,35;77.350;out_of_stock;cfe2f8cf-3508-4d47-a5ec-a56c02045766;memoria-usb-adata-uv320-3-2-32-2;MEMORIA USB ADATA UV320 3,2 - 32GB -NEGRA CON AZUL
decimales;80,92;80.920;out_of_stock;ff7aea65-7d46-433b-b37c-5090b337246d;combo-teclado-mouse-logitech-m-2;COMBO TECLADO Y MOUSE LOGITECH MK200 - ALAMBRICO - USB - NEGRO
decimales;80,92;80.920;out_of_stock;eb069f79-56a3-4627-b986-13509cd6415f;router-mercusys-mw325r-300mbps;ROUTER MERCUSYS MW325R - 300MBPS - 4 ANTENAS
decimales;80,92;80.920;out_of_stock;db03e941-f10c-44f8-b58e-5db10d0b7262;router-mercusys-mw325r-300mbps-2;ROUTER MERCUSYS MW325R - 300MBPS - 4 ANTENAS
decimales;87,06;87.060;out_of_stock;142e6442-c562-4708-946d-02fbc2a8a562;combo-teclado-mouse-logitech-m-3;COMBO TECLADO Y MOUSE LOGITECH MK220 - INALAMBRICO - NEGRO
decimales;87,06;87.060;out_of_stock;4e2440dd-21c0-4fff-a12b-f9a23b291573;router-tp-link-tl-wr820n-n300;ROUTER TP-LINK TL-WR820N - N300 MBPS - 2 ANTENAS
decimales;87,06;87.060;out_of_stock;d80c8936-8ec6-46af-8b9e-e8061278e3cf;router-tp-link-tl-wr820n-n300-2;ROUTER TP-LINK TL-WR820N - N300 MBPS - 2 ANTENAS
decimales;92,82;92.820;out_of_stock;7f97376e-d64d-489a-8437-8a20f37fb2df;teclado-logitech-k120-alambric;TECLADO LOGITECH K120 - ALAMBRICO - USB - NEGRO
decimales;93,65;93.650;out_of_stock;e27f3938-b25f-4830-a135-abdeebc79fa8;morral-targus-notebook-15-6-sa;"MORRAL TARGUS PARA NOTEBOOK 15,6"" - SAFIRE PLUS - NEGRO - TBB581DI"
decimales;93,65;93.650;out_of_stock;b5b2ec2c-21a1-493c-9de2-af5f8aef5248;memoria-usb-adata-uv320-3-2-64;MEMORIA USB ADATA UV320 3,2 - 64GB - NEGRA CON AZUL
decimales;95,20;95.200;out_of_stock;4420b17a-bfe0-4446-9290-b62678ed9c32;combo-teclado-mouse-logitech-m-4;COMBO TECLADO Y MOUSE LOGITECH MK235 - INALAMBRICO - NEGRO
decimales;95,20;95.200;out_of_stock;a3d9f811-47b4-4279-a594-14f6e33ded03;router-tp-link-tl-wr840n-n300;ROUTER TP-LINK TL-WR840N N300 Mbps ( 2 ANTENA )
decimales;95,20;95.200;out_of_stock;dce8e730-b9b7-4b42-8f9e-609769f975a6;router-tp-link-tl-wr840n-n300-2;ROUTER TP-LINK TL-WR840N N300 Mbps ( 2 ANTENA )
