precio_actual;precio_si_x1000;slug;nombre
21,25;21.250;mouse-genius-micro-retractil-b;MOUSE GENIUS MICRO RETRACTIL BLANCO
26,18;26.180;mouse-logitech-m90-usb-negro;MOUSE LOGITECH M90 USB - NEGRO
52,50;52.500;mouse-logitech-m170-inalambric-2;MOUSE LOGITECH M170 - INALAMBRICO - BLUE GRAY
52,58;52.580;mouse-logitech-m170-inalambric;MOUSE LOGITECH M170 - INALAMBRICO - AZUL
52,58;52.580;mouse-logitech-m170-inalambric-3;MOUSE LOGITECH M170 - INALAMBRICO - ROJO
52,60;52.600;diadema-logitech-h111-3-5mm-pl;DIADEMA LOGITECH H111 - 3,5MM - PLUG STEREO - MICROFONO
65,45;65.450;regulador-voltaje-wattana-1200;REGULADOR DE VOLTAJE WATTANA - 1200VA - 600W - 8 TOMAS
67,83;67.830;regulador-voltaje-wattana-2000;REGULADOR DE VOLTAJE WATTANA - 2000VA - 1000W - 8 TOMAS
66,64;66.640;mouse-mini-logitech-m187-inala;MOUSE MINI LOGITECH M187 - AZUL PALACE
66,64;66.640;mouse-mini-logitech-m187-inala-2;MOUSE MINI LOGITECH M187 - BRIGHT AZUL
69,02;69.020;morral-xkim-notebook-15-6-city;MORRAL XKIM NOTEBOOK 15,6" - CITY LIGHT - NEGRO
71,25;71.250;combo-teclado-mouse-logitech-m;COMBO TECLADO Y MOUSE LOGITECH MK120 - ALAMBRICO
71,25;71.250;router-mercusys-mw306r-300mbps;ROUTER MERCUSYS MW306R - 300MBPS - 3 ANTENAS
74,97;74.970;power-bank-adata-p10000qcd-car;POWER BANK ADATA P10000QCD - 10000MAH
77,35;77.350;morral-targus-notebook-15-6-in-2;MORRAL TARGUS 15,6" - INTELLECT ESSENTIALS NEGRO
77,35;77.350;morral-targus-notebook-15-6-in-3;MORRAL TARGUS 15,6" - INTELLECT NEGRO - TBB565GL
80,92;80.920;combo-teclado-mouse-logitech-m-2;COMBO TECLADO Y MOUSE LOGITECH MK200 - ALAMBRICO
80,92;80.920;router-mercusys-mw325r-300mbps;ROUTER MERCUSYS MW325R - 300MBPS - 4 ANTENAS
83,00;83.000;mouse-logitech-pebble-m350-ina-3;MOUSE LOGITECH PEBBLE M350 - ROSA
87,06;87.060;combo-teclado-mouse-logitech-m-3;COMBO TECLADO Y MOUSE LOGITECH MK220 - INALAMBRICO
87,06;87.060;router-tp-link-tl-wr820n-n300;ROUTER TP-LINK TL-WR820N - N300 - 2 ANTENAS
90,00;90.000;mouse-logitech-m240-inalambric;MOUSE LOGITECH M240 - GRAFITO
90,00;90.000;mouse-logitech-m240-inalambric-2;MOUSE LOGITECH M240 - ROSA
92,00;92.000;combo-teclado-mouse-logitech-m-5;COMBO TECLADO Y MOUSE LOGITECH MK270 - INALAMBRICO
92,00;92.000;router-tp-link-tl-wr850n-n300;ROUTER TP-LINK TL-WR850N - N300 - WISP
92,82;92.820;teclado-logitech-k120-alambric;TECLADO LOGITECH K120 - ALAMBRICO - USB - NEGRO
93,65;93.650;morral-targus-notebook-15-6-sa;MORRAL TARGUS 15,6" - SAFIRE PLUS - TBB581DI
95,20;95.200;combo-teclado-mouse-logitech-m-4;COMBO TECLADO Y MOUSE LOGITECH MK235 - INALAMBRICO
95,20;95.200;router-tp-link-tl-wr840n-n300;ROUTER TP-LINK TL-WR840N N300 - 2 ANTENAS
97,58;97.580;morral-targus-notebook-15-6-in;MORRAL TARGUS 15,6" - INTELLECT ADVANCED
98,77;98.770;mouse-logitech-pebble-m350-ina;MOUSE LOGITECH PEBBLE M350 - BLANCO
98,77;98.770;mouse-logitech-pebble-m350-ina-2;MOUSE LOGITECH PEBBLE M350 - GRAFITO
104,00;104.000;power-bank-adata-p20000qcd-car;POWER BANK ADATA P20000QCD - 20000MAH
109,48;109.480;combo-teclado-mouse-logitech-m-6;COMBO TECLADO Y MOUSE LOGITECH MK295 - INALAMBRICO
109,48;109.480;power-bank-adata-r050-carga-ra;POWER BANK ADATA R050 - 5000MAH INALAMBRICA
109,48;109.480;router-tp-link-archer-c24-dual;ROUTER TP-LINK ARCHER C24 - AC750 - 4 ANTENAS
8.437,10;REVISAR A MANO;disco-estado-solido-adata-lege-5;SSD ADATA LEGEND 700 2TB M.2 NVME (x1000 daria 8,4 millones: no cuadra)
